City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Santa Cruz,BO,80.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
10,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
12,Butaritari,KI,81.5,broken clouds,3.0707,172.7902,Isles Sunset Lodge
14,Tonj,SS,83.88,broken clouds,7.2737,28.6822,Lakan Hotel
15,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Guerrero Negro,MX,72.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
27,Buala,SB,80.62,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
31,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
34,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Rikitea,PF,77.86,light rain,-23.1203,-134.9692,People ThankYou
39,Labuhan,ID,78.31,few clouds,-6.8844,112.2051,DoubleFAG
42,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
44,Dingle,PH,77.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
46,Lar,IN,83.91,few clouds,26.2039,83.9717,Ovaiskarni ward Lar
48,Port Alfred,ZA,71.35,clear sky,-33.5906,26.891,The Halyards Hotel
52,Hilo,US,77.29,mist,19.7297,-155.09,Hilo Hawaiian Hotel
53,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,Tiarei,PF,80.62,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
57,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Manono,CD,73.87,overcast clouds,-7.3,27.4167,Hotel hewa bora
65,Guasdualito,VE,73.4,moderate rain,7.2424,-70.7324,Hotel Cuibas
67,Basco,PH,82.98,broken clouds,20.4487,121.9702,Nathaniel's Lodge
68,Bowen,AU,71.28,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
69,Kurud,IN,82.56,clear sky,20.8322,81.7214,HOTEL DEWANGAN
74,Jatai,BR,75.72,clear sky,-17.8814,-51.7144,Hotel Califórnia
77,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Lusambo,CD,75.13,overcast clouds,-4.9667,23.45,
86,Hualmay,PE,70.34,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
88,Sur,OM,81.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
89,Sao Francisco Do Sul,BR,73.31,broken clouds,-26.2433,-48.6381,Hotel Kontiki
91,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
97,Gigmoto,PH,80.08,scattered clouds,13.7796,124.39,Cj's Travellers Inn
98,Bubaque,GW,78.4,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
100,Matara,LK,79.57,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
103,Tautira,PF,81.09,overcast clouds,-17.7333,-149.15,Pension Oaoa
105,Chaiya,TH,78.28,overcast clouds,9.3862,99.1986,JP Place
107,Padang,ID,76.89,overcast clouds,-0.9492,100.3543,Mercure Padang
108,Mana,GF,81.7,overcast clouds,5.6592,-53.7767,LE SAMANA
109,Mirabad,AF,86.41,clear sky,30.4362,61.8383,
115,Aksu,CN,74.84,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
116,Santa Marta,CO,89.65,thunderstorm,11.2408,-74.199,Hotel La Ballena Azul
118,Kavaratti,IN,84.83,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Sao Filipe,CV,73.27,broken clouds,14.8961,-24.4956,Hotel Xaguate
123,Bethel,US,72.19,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
125,Muisne,EC,78.62,overcast clouds,0.6,-80.0333,Quinta Samay
130,Hobyo,SO,83.73,clear sky,5.3505,48.5268,Iftin hotel hobyo
131,Anloga,GH,83.21,overcast clouds,5.7947,0.8973,Pin Drop Hotel
134,Grafton,US,70.84,clear sky,42.207,-71.6856,The Grafton Inn
135,Saint-Paul,RE,75.36,light rain,-21.0096,55.2707,Boucan Canot
136,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
137,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
138,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
140,Faanui,PF,81.36,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
146,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
150,Sakit,IN,86.76,clear sky,27.45,78.8167,Laucky house
151,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Fengshui Residence
155,Yola,NG,88.88,overcast clouds,9.2,12.4833,Muna Hotel
157,Isangel,VU,76.95,clear sky,-19.55,169.2667,Tanna Lodge
159,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
163,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
170,Lolodorf,CM,71.76,moderate rain,3.2333,10.7333,Auberge La Decouverte
172,Mercedes,AR,72.03,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
173,Sao Jose Da Coroa Grande,BR,79.9,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
175,Mogadishu,SO,82.04,moderate rain,2.0371,45.3438,Hotel Juba
179,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
180,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
183,Panama City,PA,78.3,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
184,Victoria,HK,76.17,clear sky,22.2855,114.1577,Mini Hotel Central
185,Tuy Hoa,VN,75.65,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
186,Nueve De Julio,AR,70.39,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
187,Phetchaburi,TH,74.55,light rain,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
188,Narasannapeta,IN,81.23,scattered clouds,18.4167,84.05,AVK events and catering
191,Karratha,AU,74.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
195,Narsingi,IN,85.35,scattered clouds,18.0333,78.4333,Sri sai ram hotel
196,Tigre,AR,71.74,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
197,Hami,CN,73.31,overcast clouds,42.8,93.45,Laoyutang Resort
198,Kandrian,PG,77.16,light rain,-6.2167,149.55,Kandrian Station
204,Iberia,US,84.2,broken clouds,29.9502,-91.7507,back to back rv park
205,Beihai,CN,75.02,clear sky,21.4833,109.1,21 Degree Hostel
208,East London,ZA,71.6,clear sky,-33.0153,27.9116,Tu Casa
211,Male,MV,84.15,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
213,Kotaparh,IN,80.8,broken clouds,19.15,82.35,Atul Pattnaik
215,Betioky,MG,72.41,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
218,Linhares,BR,81.81,scattered clouds,-19.3911,-40.0722,Hotel Conceição
219,Atuona,PF,78.57,overcast clouds,-9.8,-139.0333,Villa Enata
220,Shaunavon,CA,73.18,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
222,Paita,PE,70.68,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
224,Laredo,US,89.89,scattered clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
229,Tarata,BO,80.02,clear sky,-17.6167,-66.0167,Hacienda castillo
230,Mbandaka,CD,70.45,overcast clouds,0.0487,18.2603,Guest House Epervier
232,Huarmey,PE,70.86,broken clouds,-10.0681,-78.1522,Hotel Miramar
234,Lasem,ID,77.47,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
238,Bay Saint Louis,US,87.87,scattered clouds,30.3088,-89.33,The Abode Guest House
241,Tabou,CI,80.96,scattered clouds,4.423,-7.3528,hotêl doufoulougou
242,Rosarito,MX,86.41,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
245,Grand Baie,MU,76.44,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
246,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
248,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
250,Chabahar,IR,80.56,clear sky,25.2919,60.643,هتل گدروشیا
252,Kandi,BJ,86.76,light rain,11.1342,2.9386,Baric Motel De Kandi
253,Westport,US,73.44,clear sky,41.1415,-73.3579,The Inn at Longshore
254,Charagua,BO,76.57,clear sky,-19.8,-63.2167,Hotel
261,Xuddur,SO,75.96,few clouds,4.1213,43.8894,Banjanay Hotel
262,Yaring,TH,79.43,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
263,Meulaboh,ID,75.87,light rain,4.1363,96.1285,Kost Pria
266,Buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
267,Kinablangan,PH,77.63,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
268,Kahului,US,79.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
269,Yangambi,CD,72.25,light rain,0.8102,24.4336,
270,Tucupita,VE,87.8,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
271,Korla,CN,76.98,overcast clouds,41.7597,86.1469,Gulisitan Hotel
272,Honiara,SB,77.68,scattered clouds,-9.4333,159.95,Heritage Park Hotel
282,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
283,Manicore,BR,80.89,broken clouds,-5.8092,-61.3003,Hotel Durval
284,Itarema,BR,78.87,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
287,Goundi,TD,84.49,broken clouds,9.3627,17.366,
290,Ambulu,ID,75.79,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
293,Moanda,GA,72.91,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
294,Maneadero,MX,71.1,few clouds,31.7167,-116.5667,Casa De Thompson
296,Pyapon,MM,82.8,few clouds,16.2833,95.6833,Aung Naing Thu Motel
298,Moundou,TD,83.44,overcast clouds,8.5667,16.0833,Planete Life
299,Mozarlandia,BR,88.7,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
302,Bousso,TD,87.64,broken clouds,10.4795,16.7117,
303,Rockland,US,75.0,overcast clouds,41.1668,-74.0496,National Camp Association
304,Ca Mau,VN,79.38,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
309,Puranpur,IN,79.5,clear sky,28.5167,80.15,Randhawa Residency
311,Caninde De Sao Francisco,BR,82.99,broken clouds,-9.66,-37.7894,Xingo Parque Hotel
312,Nampula,MZ,71.55,scattered clouds,-15.1165,39.2666,Ruby Backpackers
313,Bandarbeyla,SO,81.77,clear sky,9.4942,50.8122,JABIR HOTEL
318,Gravelbourg,CA,77.27,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
321,Trinidad,BO,84.18,clear sky,-14.8333,-64.9,Hotel Piesta
322,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
323,Carupano,VE,82.87,overcast clouds,10.6678,-63.2585,Hotel La dorada
327,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
330,Les Cayes,HT,83.8,clear sky,18.2,-73.75,Villa Orphee
331,Abu Kamal,SY,71.82,clear sky,34.4506,40.9171,البوكمال
335,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
339,Kavieng,PG,82.83,light rain,-2.5744,150.7967,Nusa Island Retreat
340,Palmas Bellas,PA,78.26,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
341,Upata,VE,81.93,overcast clouds,8.0086,-62.3989,Posada Villa Nela
343,Sambava,MG,74.08,scattered clouds,-14.2667,50.1667,Melrose
345,Luau,AO,70.77,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
348,Kananga,CD,74.55,broken clouds,-5.8958,22.4178,Guest House Wood Land
349,Jardim,BR,75.9,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
351,Makasar,ID,75.25,few clouds,-5.14,119.4221,Aryaduta Makassar
352,Karwar,IN,82.02,overcast clouds,14.8,74.1333,Netalco Connects
354,Cascas,PE,76.17,broken clouds,-7.4833,-78.8167,Hotel *ROSA ERMILA*
355,Gararu,BR,80.13,clear sky,-9.9675,-37.0833,Pousada Viver Mais
356,Lexington,US,75.09,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
360,Port Blair,IN,83.01,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
361,Vieques,PR,88.84,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
362,Havelock,US,73.38,overcast clouds,34.8791,-76.9013,Sherwood Motel
365,Buchanan,LR,77.14,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
369,Greenville,US,73.42,overcast clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
373,Beloha,MG,70.61,clear sky,-25.1667,45.05,
375,Lompoc,US,82.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
377,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
378,Cocobeach,GA,81.34,moderate rain,1.0002,9.5823,Hotel Esperance
382,Sinnamary,GF,80.64,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
383,Tshikapa,CD,75.18,overcast clouds,-6.4167,20.8,Tatem beach
388,Rio De Janeiro,BR,80.6,few clouds,-22.9028,-43.2075,Hotel cruz de ouro
389,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
390,Chas,IN,82.35,scattered clouds,23.6333,86.1667,SPOT ON 39531 Hotel Vaibhav
391,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
395,Saurimo,AO,73.22,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
399,Trincomalee,LK,80.4,overcast clouds,8.5711,81.2335,Welcombe Hotel
400,Camocim,BR,79.16,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
401,San Patricio,US,87.19,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
404,Posse,BR,83.75,few clouds,-14.0931,-46.3694,Pousada das Palmeiras
407,Axim,GH,81.09,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
414,Pacific Grove,US,73.35,clear sky,36.6177,-121.9166,Lovers Point Inn
416,Manta,EC,85.78,broken clouds,-0.95,-80.7333,Balandra Hotel
419,Namibe,AO,78.82,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
422,Iguape,BR,70.61,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
423,Samarai,PG,81.82,broken clouds,-10.6167,150.6667,Nuli Sapi
425,Ribas Do Rio Pardo,BR,74.41,clear sky,-20.4431,-53.7592,Pousada Avenida
426,Manavalakurichi,IN,81.82,overcast clouds,8.1333,77.3,Jebinrio home
427,Jalu,LY,75.76,scattered clouds,29.0331,21.5482,صاحبة الفخامة
428,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
430,San Policarpo,PH,80.8,overcast clouds,12.1791,125.5072,Agapita M. Nicart
431,Hibbing,US,70.39,clear sky,47.4272,-92.9377,Americas Best Value Inn Hibbing
432,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
434,Pasighat,IN,70.95,clear sky,28.0667,95.3333,Siang Guest House
439,Encruzilhada,BR,78.53,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
440,Umm Lajj,SA,77.27,clear sky,25.0213,37.2685,Moon light Furnished Units
442,Porto Velho,BR,82.45,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
443,Vung Tau,VN,82.31,moderate rain,10.346,107.0843,Seaside Resort
444,Ciudad Guayana,VE,88.36,overcast clouds,8.3533,-62.6528,Hotel Las Americas
447,Rio Grande,BR,75.31,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
448,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
450,Carutapera,BR,79.43,light rain,-1.195,-46.02,Lidera
453,Najran,SA,83.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
455,Qandala,SO,89.11,broken clouds,11.472,49.8728,
457,Boulder City,US,89.44,clear sky,35.9786,-114.8325,Boulder Dam Hotel
458,Pumiao,CN,72.0,broken clouds,22.75,108.4833,Mushang Boutique Hotel
460,Dzaoudzi,YT,80.49,few clouds,-12.7887,45.2699,Le Rocher
464,Laguna De Perlas,NI,87.89,broken clouds,12.3429,-83.6712,Hotel Best View
465,Trairi,BR,78.91,broken clouds,-3.2778,-39.2689,janelas do mar
469,Manokwari,ID,78.75,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
472,Tecoanapa,MX,86.13,overcast clouds,16.5167,-98.75,Hotel Manglares
474,Amlame,TG,77.59,overcast clouds,7.4667,0.9,Centre d’Acceuil AMITIE AIFFRES-AMLAME
476,Hambantota,LK,81.01,light rain,6.1241,81.1185,Bungalow 63
477,Mangrol,IN,81.1,clear sky,21.1167,70.1167,Hotel The Royal Honours
478,Akyab,MM,80.55,clear sky,20.15,92.9,Hotel Memory
480,Bhadrachalam,IN,83.53,broken clouds,17.6667,80.8833,Hotel Srinidhi Residency
481,Salinopolis,BR,80.42,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
486,Itoman,JP,72.37,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
490,Bangkalan,ID,78.75,few clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
491,Puri,IN,79.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
493,Tucuman,AR,75.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
494,Half Moon Bay,US,76.59,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
495,Kalmunai,LK,80.82,overcast clouds,7.4167,81.8167,VS Villa
496,Manamadurai,IN,81.77,overcast clouds,9.7,78.4833,MRS Lodge
497,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,HOTEL IMAN
498,Kadiri,IN,81.68,broken clouds,14.1167,78.1667,Chandra's Lodge
501,Makakilo City,US,76.69,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
502,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
504,Teluk Nibung,ID,76.42,overcast clouds,3.001,99.8164,Hotel Assyifa
507,Jacareacanga,BR,83.34,few clouds,-6.2222,-57.7528,Casa do Ian😎
511,Mwanza,TZ,73.45,scattered clouds,-2.5167,32.9,Gold Crest Hotel
512,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
516,Narayanganj,BD,84.22,scattered clouds,23.6233,90.5011,BIMT Old Hostel
520,Saint-Pierre,RE,74.91,few clouds,-21.3393,55.4781,Alize Plage
521,Caravelas,BR,80.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
523,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
524,Gamba,GA,78.44,broken clouds,-2.65,10.0,
529,Mabaruma,GY,81.25,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
530,Becerril,CO,81.95,overcast clouds,9.7041,-73.2793,Barrio El Carmen
531,Sompeta,IN,80.17,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
535,Do Gonbadan,IR,84.29,broken clouds,30.3586,50.7981,شبکه بهداشت و درمان گچساران
540,Grand-Santi,GF,80.56,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
542,Puerto Escondido,MX,88.36,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
550,Touros,BR,76.53,light rain,-5.1989,-35.4608,INN NEW HORIZON
551,Nisia Floresta,BR,80.98,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
555,Sibolga,ID,77.11,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
559,Ladario,BR,87.89,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
565,Loreto,MX,84.51,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
566,Ugoofaaru,MV,84.87,overcast clouds,5.6667,73.0,Ungoofaaru Inn
567,Guarapari,BR,77.9,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
569,Villa Maria,AR,75.81,clear sky,-32.4075,-63.2402,Hotel Milenium
574,Idenao,CM,79.02,light rain,4.2475,9.0047,Moland Beach Resort
578,Kirakira,SB,78.96,clear sky,-10.4544,161.9205,SanBiz Lodge
581,Poum,NC,77.74,broken clouds,-20.2333,164.0167,
582,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
585,Guiglo,CI,79.36,overcast clouds,6.5456,-7.4966,Hotel GBAOLY 2
586,Atar,MR,89.29,clear sky,20.5169,-13.0499,Oumou Elghoura
587,Boende,CD,73.99,light rain,-0.2167,20.8667,
589,Baculin,PH,77.22,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
590,Nauta,PE,79.59,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
591,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
593,Kailua,US,78.15,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
594,Monterey,US,79.18,broken clouds,36.2505,-121.2516,
595,Ferkessedougou,CI,87.24,few clouds,9.6,-5.2,Hotel Chateau
596,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
598,Ban Nahin,LA,72.39,clear sky,18.2418,104.2122,
599,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
600,Banjar,ID,77.02,clear sky,-8.19,114.9675,The Hamsa Resort
602,Urucara,BR,84.79,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
607,Diego De Almagro,CL,74.62,overcast clouds,-26.3667,-70.05,hotel luna del desierto
613,Oriximina,BR,85.26,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
615,Lagdo,CM,88.2,broken clouds,9.05,13.7333,
620,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
621,Dwarka,IN,82.06,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
626,Santo Tomas,PH,80.56,scattered clouds,14.1079,121.1414,Microtel by Wyndham Batangas
632,Suluq,LY,74.28,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
635,Tucuma,BR,77.65,overcast clouds,-0.1833,-50.05,
636,Bentong,MY,74.88,overcast clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
638,Laguna,US,77.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
639,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
642,Lahat,ID,72.77,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
643,Mbigou,GA,70.03,light rain,-1.9005,11.906,
649,Lorengau,PG,80.92,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
652,Domoni,KM,79.3,scattered clouds,-12.2569,44.5319,Al Djadid
653,Nabire,ID,76.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
655,Pundaguitan,PH,81.84,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
658,Omboue,GA,79.29,light rain,-1.5746,9.2618,Hotel Olako
659,Nueva Concepcion,GT,87.12,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
660,Presidente Medici,BR,79.77,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
666,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
667,Sao Felix Do Xingu,BR,82.72,broken clouds,-6.6447,-51.995,Rio Xingu Camping
668,San Rafael,AR,74.32,clear sky,-34.6177,-68.3301,Hotel San Rafael
670,Kindu,CD,72.07,few clouds,-2.95,25.95,Résidence Okanda
672,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
674,Ojhar,IN,79.63,clear sky,20.1,73.9333,Aurangabad Deogaon Rangari
676,Amalapuram,IN,79.68,overcast clouds,16.5833,82.0167,swayamprabha service apartments
677,El Dorado,US,71.85,broken clouds,38.7666,-120.5177,South Fork Group Campground
679,Avera,US,89.65,clear sky,33.194,-82.5271,
680,Maragogi,BR,79.14,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
683,Palang,BD,76.3,broken clouds,23.2167,90.35,হোটেল আল সামাদ আবাসিক
687,Rameswaram,IN,86.0,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
688,Toyo,PH,77.27,overcast clouds,10.7333,125.0167,Florina Country Lodge
689,Nortelandia,BR,79.88,clear sky,-14.4547,-56.8028,Hotel Karysmã
